,country_left,genre,is_presale,max_tickets,num_markets,price_max,price_min,sold_out,state,subgenre,venue_name_left,Unnamed: 0_y,Venue,City,Capacity,popularity_sk,headliner,support,metro_area,country_right,city_name,days_to_event
347399,US,Rock,1,50,2.0,59.5,29.5,0.0,TX,Pop,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.353977,Bastille,Joywave,Austin,US,Austin,162
3995,US,Country,1,50,1.0,64.5,13.02,0.0,AL,Country,Tuscaloosa Amphitheater,10.0,Tuscaloosa Amphitheater,Tuscaloosa,"7,470",0.021329,Kidz Bop Kids,none,Birmingham,US,Tuscaloosa,183
348532,US,Rock,0,50,2.0,250.0,125.0,0.0,TX,Pop,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.08081,Chevelle,none,Austin,US,Austin,144
346936,US,Rock,1,50,2.0,79.5,47.0,0.0,TX,Pop,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.08081,Chevelle,none,Austin,US,Austin,185
345281,US,Rock,1,50,2.0,99.5,39.5,0.0,TX,Alternative Rock,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.08081,Chevelle,none,Austin,US,Austin,199
36390,US,R&B,1,50,1.0,249.91,39.91,0.0,CA,R&B,Golden 1 Center,88.0,Golden 1 Center,Sacramento,"17,500 ",0.335149,The Chainsmokers,5 Seconds of Summer,Sacramento,US,Sacramento,170
348906,US,Rock,0,50,2.0,250.0,125.0,0.0,TX,Alternative Rock,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.48059799999999997,Nelly,TLC,Austin,US,Austin,126
355100,US,Metal,0,50,2.0,250.0,150.0,0.0,TX,Nu-Metal,Austin360 Amphitheater,566.0,Austin360 Amphitheater,Austin,"14,000",0.48059799999999997,Nelly,TLC,Austin,US,Austin,126
196720,US,Latin,1,8,3.0,377.0,39.0,0.0,NJ,Latin,MetLife Stadium,409.0,MetLife Stadium,East Rutherford,"82,680",0.07695,Romeo Santos,none,Jersey City,US,East Rutherford,106
3637,US,Country,1,50,1.0,249.0,10.0,0.0,AL,Country,Tuscaloosa Amphitheater,10.0,Tuscaloosa Amphitheater,Tuscaloosa,"7,470",0.021329,Kidz Bop Kids,none,Birmingham,US,Tuscaloosa,169
1539,US,Rock,1,4,1.0,144.5,10.0,0.0,AL,Pop,Tuscaloosa Amphitheater,10.0,Tuscaloosa Amphitheater,Tuscaloosa,"7,470",0.021329,Kidz Bop Kids,none,Birmingham,US,Tuscaloosa,183
169607,US,Pop,1,50,2.0,225.5,45.0,0.0,LA,Adult Contemporary,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.146425,Celine Dion,none,New Orleans,US,New Orleans,301
172284,US,R&B,1,50,2.0,146.0,41.0,0.0,LA,R&B,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.042381,Charlie Wilson,Johnny Gill,New Orleans,US,New Orleans,107
24007,US,Pop,1,50,1.0,,,1.0,CA,Adult Contemporary,Starlight Bowl,72.0,Starlight Bowl,San Diego,"4,300",0.038748000000000005,Air Supply,none,Los Angeles,US,Burbank,134
2425,US,R&B,1,50,1.0,496.0,13.02,0.0,AL,R&B,Tuscaloosa Amphitheater,10.0,Tuscaloosa Amphitheater,Tuscaloosa,"7,470",0.021329,Kidz Bop Kids,none,Birmingham,US,Tuscaloosa,120
264105,US,Pop,1,8,4.0,249.5,99.5,0.0,MA,Adult Contemporary,TD Garden,299.0,TD Garden,Boston,"19,600",0.146425,Celine Dion,none,Boston / Cambridge,US,Boston,246
169821,US,Rock,1,6 for presales,2.0,495.95,45.0,0.0,LA,Pop,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.15529400000000002,Jonas Brothers,Bebe Rexha,New Orleans,US,New Orleans,178
169204,US,Rock,1,50,2.0,190.0,46.5,0.0,LA,Pop,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.44865299999999997,Adam Lambert,Queen,New Orleans,US,New Orleans,256
172459,US,Dance/Electronic,1,50,2.0,95.5,35.5,0.0,LA,Witchstep,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.335149,The Chainsmokers,5 Seconds of Summer,New Orleans,US,New Orleans,256
166363,US,Classical,0,50,1.0,39.0,29.0,0.0,KS,Classical/Vocal,Stifel Theatre,368.0,Stifel Theatre,St. Louis,"3,100",0.0,Salina Symphony,none,Wichita,US,Salina,236
140732,US,Latin,1,50,2.0,750.0,52.51,0.0,IL,Latin,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.085551,Maluma,none,Chicago,US,Rosemont,217
172112,US,Country,1,50,2.0,,,1.0,LA,Country,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.138219,Miranda Lambert,Maren Morris,New Orleans,US,New Orleans,175
139403,US,Rock,1,50,2.0,299.0,39.0,0.0,IL,Alternative Rock,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.333328,The Lumineers,none,Chicago,US,Rosemont,190
134821,US,Rock,1,50,2.0,520.0,39.95,0.0,IL,Pop,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.15529400000000002,Jonas Brothers,Bebe Rexha,Chicago,US,Rosemont,199
165925,US,Classical,0,50,1.0,39.0,29.0,0.0,KS,Classical/Vocal,Stifel Theatre,368.0,Stifel Theatre,St. Louis,"3,100",0.0,Salina Symphony,none,Wichita,US,Salina,96
229470,US,Pop,1,50,2.0,225.5,55.0,0.0,NC,Adult Contemporary,PNC Arena,468.0,PNC Arena,Raleigh,"19,350",0.146425,Celine Dion,none,Raleigh,US,Raleigh,305
166068,US,Classical,0,50,1.0,39.0,29.0,0.0,KS,Classical/Vocal,Stifel Theatre,368.0,Stifel Theatre,St. Louis,"3,100",0.0,Salina Symphony,none,Wichita,US,Salina,194
140733,US,Hip-Hop/Rap,1,50,2.0,289.99,29.99,0.0,IL,French Rap,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.220074,Logic,YBN Cordae,Chicago,US,Rosemont,182
335174,US,Rock,1,50,1.0,89.5,59.5,0.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.029468,Dwight Yoakam,none,Nashville,US,Nashville,143
265129,US,Pop,1,6,4.0,225.0,29.5,0.0,MA,Pop,TD Garden,299.0,TD Garden,Boston,"19,600",0.036959,Hugh Jackman,none,Boston / Cambridge,US,Boston,151
336958,US,Rock,1,50,1.0,70.0,30.0,0.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.100277,The Raconteurs,none,Nashville,US,Nashville,63
265704,US,Rock,1,50,4.0,150.0,29.5,0.0,MA,Alternative Rock,TD Garden,299.0,TD Garden,Boston,"19,600",0.36247199999999996,Bon Iver,Feist,Boston / Cambridge,US,Boston,130
171777,US,R&B,1,50,2.0,199.5,39.5,0.0,LA,R&B,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.666628,Chris Brown,Ty Dolla $ign,New Orleans,US,New Orleans,75
341317,US,Jazz,1,50,1.0,,,1.0,TN,Jazz,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.029468,Dwight Yoakam,none,Nashville,US,Nashville,157
271330,US,Hip-Hop/Rap,1,50,4.0,503.5,53.5,0.0,MA,French Rap,TD Garden,299.0,TD Garden,Boston,"19,600",0.32856199999999997,Post Malone,Swae Lee,Boston / Cambridge,US,Boston,82
263736,US,Rock,1,50,4.0,494.45,44.45,0.0,MA,Pop,TD Garden,299.0,TD Garden,Boston,"19,600",0.15529400000000002,Jonas Brothers,Bebe Rexha,Boston / Cambridge,US,Boston,99
172985,US,Religious,1,50,2.0,149.5,20.0,0.0,LA,Gospel,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.056606,Casting Crowns,Hillsong Worship,New Orleans,US,New Orleans,110
357109,US,Rock,1,50,2.0,222.0,56.0,0.0,UT,Pop,Vivint Smart Home Arena,614.0,Vivint Smart Home Arena,Salt Lake City,"15,000 ",0.15529400000000002,Jonas Brothers,Bebe Rexha,Salt Lake City,US,Salt Lake City,104
190477,US,Country,1,4,1.0,219.0,59.0,0.0,NV,Country,The Colosseum at Caesars Palace,385.0,The Colosseum at Caesars Palace,Las Vegas,"4,298",0.005629,Wayne Newton,none,Las Vegas,US,Las Vegas,46
338810,US,Country,1,50,1.0,45.0,25.0,0.0,TN,Country,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.031595,Jon Pardi,Riley Green,Nashville,US,Nashville,124
338268,US,R&B,1,6,1.0,70.0,40.0,0.0,TN,R&B,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.031595,Jon Pardi,Riley Green,Nashville,US,Nashville,158
331209,US,Rock,1,50,1.0,129.0,54.0,0.0,TN,Alternative Rock,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.13716099999999998,Sheryl Crow,none,Nashville,US,Nashville,74
333346,US,Pop,1,50,1.0,,,1.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.02187,Jacob Banks,none,Nashville,US,Nashville,201
136540,US,Rock,1,50,2.0,150.0,29.5,0.0,IL,Alternative Rock,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.36247199999999996,Bon Iver,Feist,Chicago,US,Rosemont,119
339232,US,Country,1,50,1.0,75.0,35.0,0.0,TN,Country,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.13717100000000002,Sheryl Crow,none,Nashville,US,Nashville,136
264106,US,Rock,1,6,4.0,694.5,25.0,0.0,MA,Pop,TD Garden,299.0,TD Garden,Boston,"19,600",0.28112800000000004,Shawn Mendes,Alessia Cara,Boston / Cambridge,US,Boston,167
68208,US,Rock,1,8,1.0,494.5,44.5,0.0,FL,Pop,Hard Rock Stadium,164.0,Hard Rock Stadium,Miami Gardens,"77,500",0.48186,The Rolling Stones,Juanes,Miami,US,Miami,274
263553,US,Rock,1,6,4.0,694.5,25.0,0.0,MA,Pop,TD Garden,299.0,TD Garden,Boston,"19,600",0.271571,Shawn Mendes,Alessia Cara,Boston / Cambridge,US,Boston,453
168833,US,Rock,1,50,1.0,,,1.0,KY,Pop,Lexington Opera House,237.0,Lexington Opera House,Lexington,"1,000",0.000252,Black Jacket Symphony,none,Lexington,US,Lexington,162
339925,US,Rock,0,50,1.0,125.0,49.75,0.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.031595,Jon Pardi,Riley Green,Nashville,US,Nashville,102
230286,US,Rock,1,50,2.0,146.0,25.5,0.0,NC,Alternative Rock,PNC Arena,468.0,PNC Arena,Raleigh,"19,350",0.36247199999999996,Bon Iver,Feist,Raleigh,US,Raleigh,134
169255,US,Rock,1,50,2.0,185.0,26.0,0.0,LA,Pop,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.44865299999999997,Adam Lambert,Queen,New Orleans,US,New Orleans,279
74863,US,Rock,1,50,1.0,23.0,23.0,0.0,FL,Pop,Revolution Live,166.0,Revolution Live,Fort Lauderdale,"1,300",0.217099,The Neighbourhood,none,Fort Lauderdale,US,Fort Lauderdale,84
187965,US,Rock,1,4,1.0,694.5,45.87,0.0,NV,Pop,The Colosseum at Caesars Palace,385.0,The Colosseum at Caesars Palace,Las Vegas,"4,298",0.005629,Wayne Newton,none,Las Vegas,US,Las Vegas,147
337926,US,Rock,1,50,1.0,45.0,35.0,0.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.12878900000000001,Toto,none,Nashville,US,Nashville,109
229223,US,Rock,1,50,2.0,495.95,25.95,0.0,NC,Pop,PNC Arena,468.0,PNC Arena,Raleigh,"19,350",0.15529400000000002,Jonas Brothers,Bebe Rexha,Raleigh,US,Raleigh,96
162863,US,Rock,0,50,1.0,75.0,35.0,0.0,KS,Pop,Stifel Theatre,368.0,Stifel Theatre,St. Louis,"3,100",0.0,Salina Symphony,none,Wichita,US,Salina,149
333294,US,Pop,1,50,1.0,255.0,55.0,0.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.029631,Dwight Yoakam,Willie Jones,Nashville,US,Nashville,275
263406,US,Rock,1,50,4.0,244.5,44.5,0.0,MA,Pop,TD Garden,299.0,TD Garden,Boston,"19,600",0.271571,Shawn Mendes,Alessia Cara,Boston / Cambridge,US,Boston,274
141370,US,Latin,1,50,2.0,,,1.0,IL,Latin,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.017495,Pepe Aguilar,Angela Aguilar,Chicago,US,Rosemont,184
152822,US,Pop,1,50,1.0,,,1.0,IN,Pop,Indiana Farmers Coliseum,221.0,Indiana Farmers Coliseum,Indianapolis,"6,800",0.05669400000000001,AJR,none,Indianapolis,US,Indianapolis,211
229510,US,Rock,1,50,2.0,275.95,45.95,0.0,NC,Pop,PNC Arena,468.0,PNC Arena,Raleigh,"19,350",0.474684,Ariana Grande,Social House,Raleigh,US,Raleigh,144
79193,US,Reggae,1,50,1.0,125.0,29.0,0.0,FL,Reggae,Mizner Park Amphitheater,149.0,Mizner Park Amphitheater,Boca Raton,"4,200",0.137454,Shaggy,UB40 Featuring Ali Campbell and Astro,Fort Lauderdale,US,Boca Raton,121
80091,US,Reggae,0,50,1.0,96.5,96.5,0.0,FL,Reggae,Mizner Park Amphitheater,149.0,Mizner Park Amphitheater,Boca Raton,"4,200",0.137454,Shaggy,UB40 Featuring Ali Campbell and Astro,Fort Lauderdale,US,Boca Raton,95
134466,US,Latin,1,50,2.0,995.0,29.5,0.0,IL,Latin,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.06997,Maná,none,Chicago,US,Rosemont,218
80706,US,Rock,0,50,1.0,22.5,22.5,0.0,FL,Pop,Jannus Live,153.0,Jannus Live,St. Petersburg,"2,000",0.007731,Papadosio,none,St Petersburg,US,St Petersburg,91
266458,US,Hip-Hop/Rap,1,8,4.0,145.45,59.95,0.0,MA,French Rap,TD Garden,299.0,TD Garden,Boston,"19,600",0.27961199999999997,Chance the Rapper,none,Boston / Cambridge,US,Boston,62
332956,US,Rock,1,50,1.0,160.0,60.0,0.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.028227999999999996,Boz Scaggs,none,Nashville,US,Nashville,306
271009,US,Dance/Electronic,1,8,4.0,159.5,49.5,0.0,MA,Witchstep,TD Garden,299.0,TD Garden,Boston,"19,600",0.335149,The Chainsmokers,5 Seconds of Summer,Boston / Cambridge,US,Boston,224
271002,US,Hip-Hop/Rap,1,50,4.0,503.5,53.5,0.0,MA,French Rap,TD Garden,299.0,TD Garden,Boston,"19,600",0.216022,Carrie Underwood,Maddie and Tae,Boston / Cambridge,US,Boston,83
140734,US,Latin,1,50,2.0,349.95,39.95,0.0,IL,Latin,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.013599000000000002,Gloria Trevi,Karol G,Chicago,US,Rosemont,211
133643,US,Latin,1,50,2.0,995.0,29.5,0.0,IL,Latin,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.06997,Maná,none,Chicago,US,Rosemont,224
188200,US,Rock,1,50,1.0,449.0,79.0,0.0,NV,Pop,The Colosseum at Caesars Palace,385.0,The Colosseum at Caesars Palace,Las Vegas,"4,298",0.036137999999999997,Dionne Warwick,none,Las Vegas,US,Las Vegas,184
16608,US,Rock,1,50,1.0,399.5,49.5,0.0,CA,Pop,Hollywood Bowl,48.0,Hollywood Bowl,Los Angeles,"17,376",0.293527,Vampire Weekend,Tinariwen,Los Angeles,US,Hollywood,152
6162,US,Rock,1,50,1.0,179.0,34.75,0.0,AZ,Alternative Rock,Talking Stick Resort Arena,16.0,Talking Stick Resort Arena,Phoenix,"18,150",0.170422,Iron Maiden,The Raven Age,Phoenix,US,Phoenix,81
10499,US,Rock,1,8,1.0,497.81,27.81,0.0,CA,Pop,Rose Bowl,38.0,Rose Bowl,Pasadena,"92,000",0.48186,The Rolling Stones,Kaleo,Los Angeles,US,Pasadena,265
352871,US,Latin,0,50,1.0,140.0,55.0,0.0,TX,Latin,McAllen Performing Arts Center,605.0,McAllen Performing Arts Center,McAllen,"1,800",0.003867,Mijares,none,Brownsville,US,McAllen,225
165366,US,Classical,0,50,1.0,39.0,29.0,0.0,KS,Classical/Vocal,Stifel Theatre,368.0,Stifel Theatre,St. Louis,"3,100",0.0,Salina Symphony,none,Wichita,US,Salina,61
298631,US,Rock,1,4,1.0,129.5,25.0,0.0,MS,Pop,Brandon Amphitheater,350.0,Brandon Amphitheater,Brandon,"8,300",0.086426,Little Big Town,Midland (US),Jackson,US,Brandon,181
358110,US,Rock,1,50,1.0,59.5,49.0,0.0,VA,Pop,EagleBank Arena,621.0,EagleBank Arena,Fairfax,"10,002",0.009916,Los Temerarios,none,Washington,US,Fairfax,106
359173,US,Hip-Hop/Rap,1,50,1.0,69.99,29.99,0.0,VA,French Rap,EagleBank Arena,621.0,EagleBank Arena,Fairfax,"10,002",0.009916,Los Temerarios,none,Washington,US,Fairfax,190
66810,US,Rock,1,50,1.0,95.0,35.0,0.0,DC,Alternative Rock,Capital One Arena,125.0,Capital One Arena,Washington,"19,945",0.333328,The Lumineers,none,Washington,US,Washington,196
422623,US,Pop,0,50,1.0,150.0,47.0,0.0,WI,Adult Contemporary,Miller High Life Theatre,662.0,Miller High Life Theatre,Milwaukee,"4,086",0.036119,Dionne Warwick,Peabo Bryson,Milwaukee,US,Milwaukee,69
233469,US,R&B,1,50,2.0,199.5,39.5,0.0,NC,R&B,PNC Arena,468.0,PNC Arena,Raleigh,"19,350",0.666628,Chris Brown,Ty Dolla $ign,Raleigh,US,Raleigh,84
165920,US,Classical,0,50,1.0,39.0,29.0,0.0,KS,Classical/Vocal,Stifel Theatre,368.0,Stifel Theatre,St. Louis,"3,100",0.0,Salina Symphony,none,Wichita,US,Salina,96
134072,US,Hip-Hop/Rap,1,50,2.0,169.0,49.0,0.0,IL,French Rap,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.220074,Logic,YBN Cordae,Chicago,US,Rosemont,210
69444,US,Pop,1,50,2.0,225.75,75.0,0.0,FL,Adult Contemporary,Amalie Arena,156.0,Amalie Arena,Tampa,"21,500",0.146425,Celine Dion,none,Tampa,US,Tampa,278
264955,US,Rock,1,50,4.0,499.5,39.5,0.0,MA,Alternative Rock,TD Garden,299.0,TD Garden,Boston,"19,600",0.422184,The Black Keys,Modest Mouse,Boston / Cambridge,US,Boston,203
140523,US,Hip-Hop/Rap,1,50,2.0,520.0,39.95,0.0,IL,Reggaeton,Allstate Arena,213.0,Allstate Arena,Rosemont,"18,500",0.153954,J Balvin,Eladio Carrion,Chicago,US,Rosemont,69
161843,US,Rock,0,50,1.0,121.0,79.0,0.0,KS,Pop,Stifel Theatre,368.0,Stifel Theatre,St. Louis,"3,100",0.0,Salina Symphony,none,Wichita,US,Salina,135
279982,US,Country,1,8,1.0,95.25,25.0,0.0,MI,Country,DTE Energy Music Theatre,321.0,DTE Energy Music Theatre,Clarkston,"15,274",0.002991,Jimmie Allen,none,Detroit,US,Clarkston,139
337150,US,Rock,1,50,1.0,75.0,55.0,0.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.031595,Jon Pardi,Riley Green,Nashville,US,Nashville,95
360293,US,World,0,50,1.0,500.0,39.0,0.0,VA,World,EagleBank Arena,621.0,EagleBank Arena,Fairfax,"10,002",0.015279,Rahat Fateh Ali Khan,none,Washington,US,Fairfax,78
334709,US,Rock,1,50,1.0,99.0,39.0,0.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.031595,Jon Pardi,Riley Green,Nashville,US,Nashville,67
357827,US,Hip-Hop/Rap,1,50,1.0,,,1.0,VA,French Rap,EagleBank Arena,621.0,EagleBank Arena,Fairfax,"10,002",0.220074,Logic,JID,Washington,US,Fairfax,204
273121,US,Rock,1,8,4.0,,,1.0,MA,Pop,TD Garden,299.0,TD Garden,Boston,"19,600",0.087289,Cher,Nile Rodgers,Boston / Cambridge,US,Boston,247
78192,US,Undefined,0,50,1.0,285.0,45.0,0.0,FL,Undefined,Mizner Park Amphitheater,149.0,Mizner Park Amphitheater,Boca Raton,"4,200",0.131719,DMX,The Expendables,Fort Lauderdale,US,Boca Raton,93
421429,US,Rock,1,8,1.0,220.5,45.5,0.0,WI,Pop,Fiserv Forum,659.0,Fiserv Forum,Milwaukee,"17,500",0.028057,Clairo,none,Milwaukee,US,Milwaukee,606
130938,US,Rock,1,50,2.0,200.0,20.0,0.0,ID,Pop,Taco Bell Arena,188.0,Taco Bell Arena,Boise,"13,390 ",0.02434,For King and Country,none,Boise,US,Boise,182
341266,US,Undefined,0,50,1.0,119.5,74.5,0.0,TN,Undefined,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.13717100000000002,Sheryl Crow,none,Nashville,US,Nashville,66
76550,US,Metal,1,50,2.0,,,1.0,FL,Nu-Metal,Amalie Arena,156.0,Amalie Arena,Tampa,"21,500",0.187569,Disturbed,In This Moment,Tampa,US,Tampa,176
277141,US,Rock,1,8,1.0,,,1.0,MI,Pop,DTE Energy Music Theatre,321.0,DTE Energy Music Theatre,Clarkston,"15,274",0.043704,Ted Nugent,none,Detroit,US,Clarkston,162
332957,US,Pop,1,50,1.0,255.0,55.0,0.0,TN,Pop,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.100277,The Raconteurs,none,Nashville,US,Nashville,266
264582,US,Pop,1,8,4.0,249.5,99.5,0.0,MA,Adult Contemporary,TD Garden,299.0,TD Garden,Boston,"19,600",0.36247199999999996,Bon Iver,Feist,Boston / Cambridge,US,Boston,186
338455,US,Country,1,50,1.0,,,1.0,TN,Country,Ryman Auditorium,553.0,Ryman Auditorium,Nashville,"2,362",0.029468,Dwight Yoakam,none,Nashville,US,Nashville,164
273974,US,Rock,1,50,1.0,199.5,49.5,0.0,MI,Pop,DTE Energy Music Theatre,321.0,DTE Energy Music Theatre,Clarkston,"15,274",0.085677,Hootie & the Blowfish,Barenaked Ladies,Detroit,US,Clarkston,252
174501,US,Rock,1,50,2.0,,,1.0,LA,Pop,Smoothie King Center,255.0,Smoothie King Center,New Orleans,"17,812 ",0.087289,Cher,Nile Rodgers,New Orleans,US,New Orleans,252
277991,US,Country,1,8,1.0,125.25,55.5,0.0,MI,Country,DTE Energy Music Theatre,321.0,DTE Energy Music Theatre,Clarkston,"15,274",0.21152600000000002,Carly Pearce,Jason Aldean,Detroit,US,Clarkston,162
165926,US,Classical,0,50,1.0,39.0,29.0,0.0,KS,Classical/Vocal,Stifel Theatre,368.0,Stifel Theatre,St. Louis,"3,100",0.0,Salina Symphony,none,Wichita,US,Salina,152
416682,US,Rock,1,50,1.0,23.5,23.5,0.0,WA,Alternative Rock,Neptune Theatre,647.0,Neptune Theatre,Seattle,800,0.0037159999999999997,Rising Appalachia,Raye Zaragoza,Seattle,US,Seattle,69
277672,US,Country,1,8,1.0,125.25,45.5,0.0,MI,Country,DTE Energy Music Theatre,321.0,DTE Energy Music Theatre,Clarkston,"15,274",0.21152600000000002,Carly Pearce,Jason Aldean,Detroit,US,Clarkston,156
299739,US,Country,1,50,1.0,69.5,25.0,0.0,MS,Country,Brandon Amphitheater,350.0,Brandon Amphitheater,Brandon,"8,300",0.021329,Kidz Bop Kids,none,Jackson,US,Brandon,182
16606,US,Rock,1,50,1.0,499.95,49.95,0.0,CA,Pop,The Forum,44.0,The Forum,Inglewood,"17,500 ",0.15529400000000002,Jonas Brothers,Bebe Rexha,Los Angeles,US,Inglewood,211
14747,US,Rock,1,8,1.0,279.95,59.95,0.0,CA,Pop,The Forum,44.0,The Forum,Inglewood,"17,500 ",0.474684,Ariana Grande,Social House,Los Angeles,US,Inglewood,174
141928,US,R&B,1,50,1.0,299.5,45.5,0.0,IL,R&B,Wintrust Arena,199.0,Wintrust Arena,Chicago,"10,387",0.026952999999999998,Patti Labelle,Stephanie Mills,Chicago,US,Chicago,78
187961,US,Rock,1,50,1.0,999.0,174.0,0.0,NV,Pop,The Colosseum at Caesars Palace,385.0,The Colosseum at Caesars Palace,Las Vegas,"4,298",0.036137999999999997,Dionne Warwick,none,Las Vegas,US,Las Vegas,135
323992,US,Hip-Hop/Rap,1,6,1.0,38.5,38.5,0.0,PA,French Rap,Stage AE,525.0,Stage AE,Pittsburgh,"2,400 indoors; 5,500 outdoors",0.128252,Joey Bada$$,Flatbush Zombies,Pittsburgh,US,Pittsburgh,156
230316,US,Rock,1,50,2.0,75.5,35.5,0.0,NC,Pop,PNC Arena,468.0,PNC Arena,Raleigh,"19,350",0.474684,Ariana Grande,Social House,Raleigh,US,Raleigh,127
275575,US,Rock,1,4,1.0,,,1.0,MI,Pop,DTE Energy Music Theatre,321.0,DTE Energy Music Theatre,Clarkston,"15,274",0.11886400000000001,Kid Rock,Blackberry Smoke,Detroit,US,Clarkston,160
274371,US,Rock,1,4,1.0,,,1.0,MI,Pop,DTE Energy Music Theatre,321.0,DTE Energy Music Theatre,Clarkston,"15,274",0.11886400000000001,Kid Rock,Blackberry Smoke,Detroit,US,Clarkston,161
