,Venue,City,Capacity
94,SAP Center,San Jose,"19,190"
95,Event Center Arena,San Jose,"7,000"
96,City National Civic,San Jose,"3,500"
97,Oracle Arena,Oakland,"20,000"
98,Paramount Theatre,Oakland,"3,040"
99,Fox Oakland Theatre,Oakland,"2,800"
100,Chautauqua Auditorium,Boulder,"1,300"
101,Fox Theatre,Boulder,625
102,1stBank Center,Broomfield,"7,000"
103,Pikes Peak Center,Colorado Springs,"2,000"
104,Dick's Sporting Goods Park,Commerce City,"27,000"
105,Bluebird Theater,Denver,550
106,Broncos Stadium at Mile High,Denver,"76,125"
107,Pepsi Center,Denver,"21,000"
108,Denver Coliseum,Denver,"10,500"
109,Ogden Theatre,Denver,"1,600"
110,Paramount Theatre,Denver,"1,870"
111,Fillmore Auditorium,Denver,"3,700"
112,Oriental Theatre,Denver,707
113,Bellco Theatre,Denver,"5,000"
114,Gothic Theatre,Englewood,999
115,Fiddler's Green Amphitheatre,Greenwood Village,"17,000"
116,Budweiser Events Center,Loveland,"7,200"
117,Red Rocks Amphitheater,Morrison,"9,450"
118,Rentschler Field,East Hartford,"40,642"
119,Xfinity Theatre,Hartford,"30,000"
120,XL Center,Hartford,"19,321"
121,Mohegan Sun Arena,Uncasville,"12,000"
122,Foxwoods Resort Casino,Mashantucket,"4,000"
123,RFK Memorial Stadium,Washington,"45,600"
124,Nationals Park,Washington,"41,418"
125,Capital One Arena,Washington,"19,945"
126,D.C. Armory,Washington,"10,000"
127,Echostage,Washington,"4,000"
128,Carter Barron Amphitheatre,Washington,"4,000"
129,DAR Constitution Hall,Washington,"3,702"
130,The Anthem,Washington,"6,000"
131,Warner Theatre,Washington,"1,847"
132,National Theatre,Washington,"1,676"
133,Lincoln Theatre,Washington,"1,225"
134,9:30 Club,Washington,"1,200"
135,Howard Theatre,Washington,"1,000"
136,Black Cat,Washington,800
137,U Street Music Hall,Washington,500
138,Jacksonville Veterans Memorial Arena,Jacksonville,"15,000"
139,Florida Theatre,Jacksonville,"1,900"
140,Daily's Place,Jacksonville,"5,500"
141,TIAA Bank Field,Jacksonville,"69,132"
142,Amway Center,Orlando,"16,486"
143,The Beacham,Orlando,"1,250"
144,House of Blues,Orlando,"2,100"
145,Bob Carr Theater,Orlando,"2,518"
146,CFE Arena,Orlando,"10,072"
147,Dr. Phillips Center for the Performing Arts,Orlando,"2,731"
148,Camping World Stadium,Orlando,"60,219"
149,Mizner Park Amphitheater,Boca Raton,"4,200"
150,Hard Rock Live,Hollywood,"6,500"
151,Pensacola Bay Center,Pensacola,"10,500"
152,Ruth Eckerd Hall,Clearwater,"2,180"
153,Jannus Live,St. Petersburg,"2,000"
154,Tropicana Field,St. Petersburg,"32,000"
155,MidFlorida Credit Union Amphitheatre,Tampa,"20,000"
156,Amalie Arena,Tampa,"21,500"
157,Raymond James Stadium,Tampa,"65,890"
158,Coral Sky Amphitheatre,West Palm Beach,"19,000"
159,American Airlines Arena,Miami,"21,021"
160,The Fillmore,Miami,"2,750"
161,Olympia Theater,Miami,"1,567"
162,Klipsch Amphitheatre,Miami,"10,000"
163,Marlins Park,Miami,"36,744"
164,Hard Rock Stadium,Miami Gardens,"77,500"
165,BB&T Center,Sunrise,"21,371"
166,Revolution Live,Fort Lauderdale,"1,300"
167,Sanford Stadium,Athens,"92,746"
168,State Farm Arena,Atlanta,"21,000"
169,Cellairis Amphitheatre,Atlanta,"19,000"
170,State Bank Amphitheatre,Atlanta,"6,900"
171,Fox Theatre,Atlanta,"4,678"
172,The Tabernacle,Atlanta,"2,600"
173,Buckhead Theatre,Atlanta,"1,800"
174,Center Stage,Atlanta,"1,050"
175,The Masquerade,Atlanta,1000
176,Mercedes-Benz Stadium,Atlanta,"71,000"
177,SunTrust Park,Cumberland,"41,500"
178,Ameris Bank Amphitheatre,Alpharetta,"12,000"
179,James Brown Arena,Augusta,"9,167"
180,William B. Bell Auditorium,Augusta,"2,690"
181,Columbus Civic Center,Columbus,"9,109"
182,Infinite Energy Arena,Duluth,"13,100"
183,Aloha Stadium,Honolulu,"50,000"
184,Neal S. Blaisdell Center,Honolulu,"8,800"
185,Waikiki Shell,Honolulu,"8,400"
186,CenturyLink Arena,Boise,"6,800"
187,Ford Idaho Center,Boise,"13,067"
188,Taco Bell Arena,Boise,"13,390"
189,Grossinger Motors Arena,Bloomington,"8,000"
190,Toyota Park,Bridgeview,"28,010"
191,State Farm Center,Champaign,"17,200"
192,Ravinia Pavilion,Highland Park,"3,400"
193,Aragon Ballroom,Chicago,"4,500"
194,Arie Crown Theater,Chicago,"4,249"
195,Auditorium Theatre,Chicago,"3,877"
196,Chicago Theatre,Chicago,"3,600"
197,Civic Opera House,Chicago,"3,563"
198,House of Blues,Chicago,"1,300"
199,Wintrust Arena,Chicago,"10,387"
200,Huntington Bank Pavilion,Chicago,"30,000"
201,Lincoln Hall,Chicago,507
202,Park West Theatre,Chicago,900
203,Riviera Theatre,Chicago,"2,500"
204,Schuba's,Chicago,150
205,Soldier Field,Chicago,"63,500"
206,Thalia Hall,Chicago,500
207,Credit Union 1 Arena,Chicago,"10,000"
208,United Center,Chicago,"23,500"
209,The Vic Theatre,Chicago,"1,400"
210,Wrigley Field,Chicago,"40,929"
211,TaxSlayer Center,Moline,"12,000"
212,Peoria Civic Center,Peoria,"12,036"
213,Allstate Arena,Rosemont,"18,500"
214,Rosemont Theatre,Rosemont,"4,400"
215,Hollywood Casino Amphitheatre,Tinley Park,"28,000"
216,Genesee Theatre,Waukegan,"2,427"
217,Ford Center,Evansville,"11,000"
218,Allen County War Memorial Coliseum,Fort Wayne,"11,000"
219,Hinkle Fieldhouse,Indianapolis,"9,100"
220,Bankers Life Fieldhouse,Indianapolis,"19,000"
221,Indiana Farmers Coliseum,Indianapolis,"6,800"
222,Old National Centre,Indianapolis,"2,600"
223,Lucas Oil Stadium,Indianapolis,"70,000"
224,Ruoff Home Mortgage Music Center,Noblesville,"24,550"
225,Wells Fargo Arena,Des Moines,"16,285"
226,Iowa State Fair,Des Moines,"10,605"
227,Hoyt Sherman Place,Des Moines,"1,252"
228,Carver-Hawkeye Arena,Iowa City,"15,400"
229,Jack Trice Stadium,Ames,"61,500"
230,United Wireless Arena,Dodge City,"5,500"
231,Intrust Bank Arena,Wichita,"15,000"
232,Hartman Arena,Wichita,"5,000"
233,Cessna Stadium,Wichita,"31,500"
234,Providence Medical Center Amphitheater,Bonner Springs,"18,000"
235,BB&T Arena,Highland Heights,"8,000"
236,Rupp Arena,Lexington,"24,500"
237,Lexington Opera House,Lexington,"1,000"
238,Memorial Coliseum,Lexington,"10,000"
239,KFC Yum! Center,Louisville,"17,500"
240,Freedom Hall,Louisville,"19,200"
241,Brown Theatre,Louisville,"1,400"
242,The Louisville Palace,Louisville,"2,700"
243,Eastern Kentucky Expo Center,Pikeville,"7,000"
244,Tipitina's,New Orleans,"1,000"
245,Carver Theater,New Orleans,500
246,Civic Theatre,New Orleans,"1,200"
247,House of Blues,New Orleans,843
248,The Howlin' Wolf,New Orleans,"1,200"
249,Joy Theater,New Orleans,"1,250"
250,Lakefront Arena,New Orleans,"8,981"
251,Mahalia Jackson Theater of the Performing Arts,New Orleans,"2,100"
252,Mercedes-Benz Superdome,New Orleans,"73,250"
253,Orpheum Theater,New Orleans,"1,500"
254,Saenger Theatre,New Orleans,"2,600"
255,Smoothie King Center,New Orleans,"17,812"
256,State Palace Theatre,New Orleans,"3,335"
257,Tad Gormley Stadium,New Orleans,"26,500"
258,The Fillmore New Orleans,New Orleans,"2,000"
259,Rapides Parish Coliseum,Alexandria,"6,500"
260,BREC Memorial Stadium,Baton Rouge,"21,500"
261,F. G. Clark Center,Baton Rouge,"7,500"
262,Greek Theatre,Baton Rouge,"3,500"
263,LSU Tiger Band Hall,Baton Rouge,325
264,Pete Maravich Assembly Center,Baton Rouge,"13,215"
265,Raising Cane's River Center Arena,Baton Rouge,"8,900"
266,River Center Theater for Performing Arts,Baton Rouge,"1,999"
267,Tiger Stadium (LSU),Baton Rouge,"102,321"
268,CenturyLink Center,Bossier City,"14,000"
269,Fredrick C. Hobdy Assembly Center,Grambling,"7,500"
270,University Center,Hammond,"7,500"
271,Houma Terrebonne Civic Center,Houma,"5,000"
272,Pontchartrain Center,Kenner,"3,700"
273,Cajundome,Lafayette,"13,500"
274,Burton Coliseum,Lake Charles,"8,500"
275,Jefferson Performing Arts Center,Metairie,"1,500"
276,Shrine on Airline,Metairie,"10,000"
277,Fant–Ewing Coliseum,Monroe,"7,085"
278,Monroe Civic Center,Monroe,"7,600"
279,Prather Coliseum,Natchitoches,"3,900"
280,Thomas Assembly Center,Ruston,"8,000"
281,Hirsch Memorial Coliseum,Shreveport,"10,300"
282,RiverView Theater,Shreveport,"1,725"
283,Shreveport Municipal Memorial Auditorium,Shreveport,"3,200"
284,Harang Jr. Municipal Auditorium,Thibodaux,"3,500"
285,Stopher Gymnasium,Thibodaux,"3,800"
286,Alario Center,Westwego,"2,400"
287,Cross Insurance Center,Bangor,"8,500"
288,Darling's Waterfront Pavilion,Bangor,"16,000"
289,State Theatre,Portland,"1,870"
290,Cross Insurance Arena,Portland,"9,500"
291,MECU Pavilion,Baltimore,"4,400"
292,M&T Bank Stadium,Baltimore,"71,250"
293,Royal Farms Arena,Baltimore,"14,000"
294,Rams Head Live!,Baltimore,"1,500"
295,FedExField,Landover,"79,000"
296,SECU Arena,Towson,"5,200"
297,Xfinity Center,College Park,"17,955"
298,Merriweather Post Pavilion,Columbia,"19,319"
299,TD Garden,Boston,"19,600"
300,Fenway Park,Boston,"37,949"
301,Agganis Arena,Boston,"7,200"
302,Orpheum Theatre,Boston,"2,700"
303,Rockland Trust Bank Pavilion,Boston,"5,200"
304,House of Blues,Boston,"2,425"
305,Wilbur Theatre,Boston,"1,200"
306,Paradise Rock Club,Boston,933
307,Xfinity Center,Mansfield,"19,900"
308,Gillette Stadium,Foxborough,"69,004"
309,Tsongas Center,Lowell,"7,800"
310,Lowell Memorial Auditorium,Lowell,"2,800"
311,Lynn Memorial City Hall and Auditorium,Lynn,"2,000"
312,DCU Center,Worcester,"14,800"
313,Kellogg Arena,Battle Creek,"6,500"
314,Royal Oak Music Theatre,Royal Oak,"1,700"
315,Little Caesars Arena,Detroit,"22,000"
316,Ford Field,Detroit,"62,755"
317,Fox Theatre,Detroit,"5,174"
318,Saint Andrew's Hall,Detroit,"1,000"
319,The Fillmore,Detroit,"2,888"
320,Detroit Masonic Temple,Detroit,"4,650"
321,DTE Energy Music Theatre,Clarkston,"15,274"
322,Van Andel Arena,Grand Rapids,"13,184"
323,20 Monroe Live,Grand Rapids,"2,540"
324,DeVos Performance Hall,Grand Rapids,"2,404"
325,Holland Municipal Stadium,Holland,"5,322"
326,Paisley Park,Chanhassen,"1,850"
327,AMSOIL Arena,Duluth,"8,500"
328,NorShor Theatre,Duluth,700
329,Verizon Center,Mankato,"8,200"
330,US Bank Stadium,Minneapolis,"66,665"
331,TCF Bank Stadium,Minneapolis,"58,805"
332,Target Field,Minneapolis,"39,022"
333,Target Center,Minneapolis,"19,336"
334,The Armory,Minneapolis,"8,400"
335,Northrop Auditorium,Minneapolis,"2,700"
336,Orpheum Theatre,Minneapolis,"2,579"
337,State Theatre,Minneapolis,"2,181"
338,First Avenue,Minneapolis,"1,550"
339,Pantages Theatre,Minneapolis,"1,014"
340,Bluestem Amphitheater,Moorhead,"3,000"
341,Taylor Arena,Rochester,"7,200"
342,Mayo Civic Auditorium,Rochester,"3,000"
343,Xcel Energy Center,Saint Paul,"20,554"
344,State Fair Grandstand,Saint Paul,"17,000"
345,CHS Field,Saint Paul,"12,000"
346,Roy Wilkins Auditorium,Saint Paul,"5,000"
347,Palace Theatre,Saint Paul,"2,500"
348,Fitzgerald Theater,Saint Paul,"1,058"
349,Mississippi Coast Coliseum,Biloxi,"15,025"
350,Brandon Amphitheater,Brandon,"8,300"
351,Mississippi Coliseum,Jackson,"10,000"
352,Thalia Mara Hall,Jackson,"2,040"
353,Landers Center,Southaven,"10,045"
354,Silverstein Eye Centers Arena,Independence,"7,000"
355,Hollywood Casino Amphitheatre,Maryland Heights,"20,000"
356,JQH Arena,Springfield,"11,000"
357,Sprint Center,Kansas City,"19,252"
358,Hy-Vee Arena,Kansas City,"19,000"
359,Uptown Theater,Kansas City,"1,700"
360,Midland Theatre,Kansas City,"3,200"
361,Starlight Theatre,Kansas City,"7,958"
362,Arrowhead Stadium,Kansas City,"76,416"
363,Enterprise Center,St. Louis,"22,000"
364,Fox Theatre,St. Louis,"4,503"
365,The Pageant,St. Louis,"2,300[23]"
366,Chaifetz Arena,St. Louis,"10,600"
367,The Dome at America's Center,St. Louis,"66,000"
368,Stifel Theatre,St. Louis,"3,100"
369,Busch Stadium,St. Louis,"52,000"
370,Show Me Center,Cape Girardeau,"7,373"
371,Mizzou Arena,Columbia,"15,061"
372,CHI Health Center,Omaha,"18,100"
373,Baxter Arena,Omaha,"7,898"
374,Orpheum Theater,Omaha,"2,600"
375,Sokol Auditorium,Omaha,"1,500"
376,Pinnacle Bank Arena,Lincoln,"14,620"
377,Memorial Stadium,Lincoln,"87,000"
378,Ralston Arena,Ralston,"4,356"
379,Sam Boyd Stadium,Whitney,"40,000"
380,MGM Grand Garden Arena,Las Vegas,"16,800"
381,Allegiant Stadium,Las Vegas,"60,000"
382,Zappos Theater,Las Vegas,"7,000"
383,The Joint,Las Vegas,"4,200"
384,House of Blues,Las Vegas,"2,000"
385,The Colosseum at Caesars Palace,Las Vegas,"4,298"
386,Pearl Concert Theater,Las Vegas,"2,500"
387,Flamingo Showroom,Las Vegas,750
388,Orleans Showroom,Las Vegas,850
389,Orleans Arena,Las Vegas,"8,921"
390,Thomas & Mack Center,Las Vegas,"19,000"
391,The Venetian Theatre,Las Vegas,"1,810"
392,Mandalay Bay Events Center,Las Vegas,"12,000"
393,T-Mobile Arena,Las Vegas,"19,600"
394,Reno Events Center,Reno,"7,400"
395,Lawlor Events Center,Reno,"11,536"
396,Mackay Stadium,Reno,"26,000"
397,Lake Tahoe Outdoor Arena,Stateline,"9,300"
398,Bank of New Hampshire Pavilion,Gilford,"8,300"
399,Hampton Beach Casino Ballroom,Hampton,"2,200"
400,SNHU Arena,Manchester,"10,050"
401,Palace Theatre,Manchester,880
402,Paramount Theatre,Asbury Park,1600
403,The Saint,Asbury Park,175
404,The Stone Pony,Asbury Park,500
405,Boardwalk Hall,Atlantic City,"14,770"
406,Borgata Event Center,Atlantic City,"2,400"
407,TD Bank Ballpark,Bridgewater,"6,100"
408,BB&T Pavilion,Camden,"25,000"
409,MetLife Stadium,East Rutherford,"82,680"
410,Meadowlands Arena,East Rutherford,"20,000"
411,PNC Bank Arts Center,Holmdel,"17,500"
412,Prudential Center,Newark,"19,500"
413,Count Basie Theatre,Red Bank,"1,568"
414,Starland Ballroom,Sayreville,"2,500"
415,Popejoy Hall,Albuquerque,"1,985"
416,Kiva Auditorium,Albuquerque,"2,300"
417,Tingley Coliseum,Albuquerque,"11,571"
418,Isleta Amphitheater,Albuquerque,"15,000"
419,The Pit,Albuquerque,"15,411"
420,Pan American Center,Las Cruces,"12,482"
421,"NYCB Live, home of the Nassau Veterans Memorial Coliseum",Uniondale,"14,500"
422,Saratoga Performing Arts Center,Saratoga Springs,"25,000"
423,Herb Brooks Arena,Lake Placid,"7,700"
424,Northwell Health at Jones Beach Theater,Wantagh,"15,000"
425,The Paramount[citation needed],Huntington,"1,753"
426,Barclays Center,Brooklyn,"19,000"
427,Ford Amphitheater at Coney Island,Brooklyn,"5,000"
428,Madison Square Garden,New York City,"20,000"
429,Webster Hall,New York City,"1,500"
430,Carnegie Hall,New York City,"2,804"
431,Hammerstein Ballroom,New York City,"3,500"
432,Hulu Theater,New York City,"5,600"
433,Forest Hills Stadium,New York City,"14,000"
434,Citi Field,New York City,"47,255"
435,Irving Plaza,New York City,"1,025"
436,Gramercy Theatre,New York City,499
437,Beacon Theatre,New York City,"2,829"
438,Radio City Music Hall,New York City,"6,015"
439,PlayStation Theater,New York City,"2,100"
440,Terminal 5,New York City,"3,000"
441,Yankee Stadium,Bronx,"54,242"
442,New Era Field,Orchard Park,"71,608"
443,Palace Theatre,Albany,"2,844"
444,Times Union Center,Albany,"15,357"
445,Carrier Dome,Syracuse,"56,250"
446,KeyBank Center,Buffalo,"18,500"
447,Blue Cross Arena,Rochester,"14,000"
448,Darien Lake Performing Arts Center,Darien,"21,600"
449,Center for the Arts,Homer,450
450,U.S. Cellular Coliseum,Asheville,"7,200"
451,The Orange Peel,Asheville,"1,050"
452,Holmes Center,Boone,"8,325"
453,American Legion Memorial Stadium,Charlotte,"16,000"
454,Bojangles' Coliseum,Charlotte,"9,605"
455,Ovens Auditorium,Charlotte,"2,460"
456,PNC Music Pavilion,Charlotte,"19,500"
457,Charlotte Metro Credit Union Amphitheatre,Charlotte,"5,000"
458,Bank of America Stadium,Charlotte,"74,455"
459,Spectrum Center,Charlotte,"18,249"
460,Durham Performing Arts Center,Durham,"2,712"
461,Crown Coliseum,Fayetteville,"13,500"
462,Odeon Theatre,Greensboro,300
463,Greensboro Coliseum,Greensboro,"23,500"
464,The Terrace,Greensboro,800
465,White Oak Amphitheatre,Greensboro,788
466,Carter–Finley Stadium,Raleigh,"57,583"
467,Coastal Credit Union Music Park,Raleigh,"20,500"
468,PNC Arena,Raleigh,"19,350"
469,Red Hat Amphitheater,Raleigh,"5,500"
470,BB&T Field,Winston-Salem,"31,500"
471,Lawrence Joel Veterans Memorial Coliseum,Winston-Salem,"14,407"
472,Alerus Center,Grand Forks,"21,000"
473,Ralph Engelstad Arena,Grand Forks,"13,154"
474,Fargodome,Fargo,"22,000"
475,SpiritBank Event Center,Bixby,"4,500"
476,Choctaw Grand Theater,Durant,"3,000"
477,Global Event Center,Thackerville,"3,500"
478,BOK Center,Tulsa,"19,199"
479,Cox Business Center,Tulsa,"9,768"
480,ONEOK Field,Tulsa,"9,100"
481,Cain's Ballroom,Tulsa,"1,800"
482,Brady Theater,Tulsa,"2,800"
483,Chesapeake Energy Arena,Oklahoma City,"19,000"
484,Jim Norick Arena,Oklahoma City,"10,944"
485,Zoo Amphitheatre,Oklahoma City,"8,500"
486,Lloyd Noble Center,Norman,"11,562"
487,McCasland Field House,Norman,"5,000"
488,Blossom Music Center,Cuyahoga Falls,"20,000"
489,U.S. Bank Arena,Cincinnati,"17,556"
490,Riverbend Music Center,Cincinnati,"20,500"
491,PNC Pavilion,Cincinnati,"4,100"
492,Great American Ball Park,Cincinnati,"42,319"
493,Value City Arena,Columbus,"20,000"
494,Nationwide Arena,Columbus,"21,000"
495,Lincoln Theatre,Columbus,582
496,Ohio Stadium,Columbus,"104,944"
497,Express Live!,Columbus,"5,000"
498,House of Blues,Cleveland,"1,200"
499,Wolstein Center,Cleveland,"13,612"
500,Rocket Mortgage FieldHouse,Cleveland,"20,100"
501,FirstEnergy Stadium,Cleveland,"73,200"
502,Jacobs Pavilion,Cleveland,"5,000"
503,Huntington Center,Toledo,"7,286"
504,Stambaugh Auditorium,Youngstown,"2,554"
505,Midland Theatre,Newark,"1,800"
506,Moda Center,Portland,"15,100"
507,Arlene Schnitzer Concert Hall,Portland,"2,776"
508,Roseland Theater,Portland,"1,400"
509,Keswick Theatre,Glenside,"1,300"
510,Electric Factory,Philadelphia,"3,000"
511,Theatre of Living Arts,Philadelphia,"1,000"
512,Citizens Bank Park,Philadelphia,"43,650"
513,Liacouras Center,Philadelphia,"10,200"
514,Mann Center for the Performing Arts,Philadelphia,"14,000"
515,Wells Fargo Center,Philadelphia,"21,000"
516,Franklin Field,Philadelphia,"52,960"
517,Lincoln Financial Field,Philadelphia,"69,176"
518,PPL Center,Allentown,"10,500"
519,New Holland Arena,Harrisburg,"7,600"
520,Bryce Jordan Center,University Park,"16,000"
521,PPG Paints Arena,Pittsburgh,"14,536"
522,PNC Park,Pittsburgh,"38,360"
523,Heinz Field,Pittsburgh,"69,119"
524,Petersen Events Center,Pittsburgh,"12,508"
525,Stage AE,Pittsburgh,"5,500"
526,Sands Event Center,Bethlehem,"3,500"
527,Stabler Arena,Bethlehem,"6,200"
528,Santander Arena,Reading,"9,000"
529,The Pavilion,Scranton,"19,000"
530,Utz Arena,York,"5,500"
531,Giant Center,Hershey,"12,500"
532,Hersheypark Stadium,Hershey,"30,000"
533,Warner Theatre,Erie,"2,250"
534,KeyBank Pavilion,Burgettstown,"23,000"
535,Dunkin' Donuts Center,Providence,"12,780"
536,TD Arena,Charleston,"5,100"
537,Colonial Life Arena,Columbia,"19,000"
538,Koger Center for the Arts,Columbia,"2,256"
539,The Senate,Columbia,"1,200"
540,Williams Stadium,Columbia,"80,250"
541,Bon Secours Wellness Arena,Greenville,"15,951"
542,Timmons Arena,Greenville,"6,000"
543,The Firmament,Greenville,825
544,North Charleston Coliseum,North Charleston,"12,645"
545,House of Blues,North Myrtle Beach,"2,100"
546,Memorial Stadium,Clemson,"81,500"
547,Denny Sanford Premier Center,Sioux Falls,"12,500"
548,Sioux Falls Arena,Sioux Falls,"7,500"
549,FedExForum,Memphis,"19,000"
550,Liberty Bowl Memorial Stadium,Memphis,"59,310"
551,Mud Island Amphitheatre,Memphis,"5,000"
552,Orpheum Theatre,Memphis,"2,400"
553,Ryman Auditorium,Nashville,"2,362"
554,Grand Ole Opry,Nashville,"4,000"
555,Vanderbilt Stadium,Nashville,"40,500"
556,Bridgestone Arena,Nashville,"19,712"
557,Nissan Stadium,Nashville,"69,143"
558,Ascend Amphitheater,Nashville,"6,800"
559,The Cannery Ballroom,Nashville,"1,000"
560,Thompson–Boling Arena,Knoxville,"21,678"
561,Monte Hale Arena,Murfreesboro,"11,500"
562,Allen Event Center,Allen,"8,600"
563,Frank Erwin Center,Austin,"16,000"
564,Emo's,Austin,"1,850"
565,Moody Theater,Austin,"2,750"
566,Austin360 Amphitheater,Austin,"14,000"
567,AT&T Stadium,Arlington,"105,000"
568,Globe Life Field,Arlington,"40,000"
569,Globe Life Park,Arlington,"48,114"
570,Jefferson Theatre,Beaumont,"1,400"
571,Julie Rogers Theater,Beaumont,"1,663"
572,H-E-B Center,Cedar Park,"8,700"
573,American Bank Center,Corpus Christi,"10,000"
574,Berry Center,Cypress,"9,500"
575,American Airlines Center,Dallas,"21,001"
576,The Bomb Factory,Dallas,"4,300"
577,South Side Ballroom,Dallas,"4,000"
578,Cotton Bowl,Dallas,"92,100"
579,House of Blues,Dallas,"1,750"
580,Trees,Dallas,600
582,Granada Theater,Dallas,"1,000"
583,Dos Equis Pavilion,Dallas,"20,000"
584,Bert Ogden Arena,Edinburg,"7,688"
585,Don Haskins Center,El Paso,"12,567"
586,El Paso County Coliseum,El Paso,"7,000"
587,Sun Bowl Stadium,El Paso,"51,500"
588,Fort Worth Convention Center,Fort Worth,"11,200"
589,Dickies Arena,Fort Worth,"14,000"
590,Billy Bob's,Fort Worth,"6,000"
591,Grand 1894 Opera House,Galveston,"1,040"
592,The Theatre at Grand Prairie,Grand Prairie,"6,350"
593,State Farm Arena,Hidalgo,"6,800"
594,BBVA Stadium,Houston,"30,000"
595,House of Blues,Houston,"1,500"
596,Warehouse Live,Houston,"1,500"
597,Toyota Center,Houston,"19,085"
598,Minute Maid Park,Houston,"42,060"
599,NRG Stadium,Houston,"71,055"
600,NRG Arena,Houston,"8,000"
601,Revention Music Center,Houston,"3,464"
602,Toyota Music Factory,Irving,"8,000"
