Opened,Venue,City,Capacity
1936,Camping World Stadium,Orlando,"60,219"
11-Jan-91,Mizner Park Amphitheater,Boca Raton,"4,200"
12-Jul-05,Hard Rock Live,Hollywood,"6,500"
21-Jan-85,Pensacola Bay Center,Pensacola,"10,500"
2-Nov-98,Germain Arena,Estero,"Half-house: 5,090; End-stage: 7,380"
1983,Ruth Eckerd Hall,Clearwater,"2,180"
1984,Jannus Live,St. Petersburg,"2,000"
3-Mar-90,Tropicana Field,St. Petersburg,"32,000"
31-Mar-59,Busch Gardens,Tampa,Unknown
25-Jul-04,MidFlorida Credit Union Amphitheatre,Tampa,"20,000"
20-Oct-96,Amalie Arena,Tampa,"21,500"
20-Sep-98,Raymond James Stadium,Tampa,"65,890 expandable to: 75,000"
26-Apr-96,Coral Sky Amphitheatre,West Palm Beach,"19,000"
31-Dec-99,American Airlines Arena,Miami,"5,000–21,021"
1957,The Fillmore,Miami,"2,750"
18-Feb-26,Olympia Theater,Miami,"1,567"
Unknown,Klipsch Amphitheatre,Miami,"10,000"
5-Mar-12,Marlins Park,Miami,"33,000–36,744"
16-Aug-87,Hard Rock Stadium,Miami Gardens,"77,500"
3-Oct-98,BB&T Center,Sunrise,"15,000–21,371"
2004,Revolution Live,Fort Lauderdale,"1,300"
Georgia,Georgia,Georgia,Georgia
12-Oct-29,Sanford Stadium,Athens,"92,746"
18-Sep-99,State Farm Arena,Atlanta,"21,000+"
Jul-89,Cellairis Amphitheatre,Atlanta,"19,000"
20-Jun-44,State Bank Amphitheatre,Atlanta,"6,900"
1929,Fox Theatre,Atlanta,"4,678"
1911,The Tabernacle,Atlanta,"2,600"
1930s,Buckhead Theatre,Atlanta,"1,800"
1966,Center Stage,Atlanta,"1,050 Vinyl: 350; The Loft: 650)"
1988,The Masquerade,Atlanta,"1000 (Heaven), 500 (Hell), 200 (Purgatory)"
26-Aug-17,Mercedes-Benz Stadium,Atlanta,"71,000 (expandable to 83,000); 29,322 (MLS configuration)"
21-Feb-17,SunTrust Park,Cumberland,"41,500"
Unknown,Ameris Bank Amphitheatre,Alpharetta,"12,000"
24-Jan-80,James Brown Arena,Augusta,"9,167"
24-Jan-80,William B. Bell Auditorium,Augusta,"2,690"
9-Aug-94,Columbus Civic Center,Columbus,"9,109"
16-Feb-03,Infinite Energy Arena,Duluth,"13,100"
1974,Savannah Civic Center,Savannah,"Arena: 9,600 Theatre: 2,524; Promenades: 400; Ballroom: 400)"
Hawaii,Hawaii,Hawaii,Hawaii
1975,Aloha Stadium,Honolulu,"50,000"
1964,Neal S. Blaisdell Center,Honolulu,"8,800"
1956,Waikiki Shell,Honolulu,"8,400"
Idaho,Idaho,Idaho,Idaho
24-Sep-97,CenturyLink Arena,Boise,"6,800"
Jul-97,Ford Idaho Center,Boise,"13,067"
16-May-82,Taco Bell Arena,Boise,"8,272–13,390 (center-stage: 13,090, half-arena: 6,795)"
Illinois,Illinois,Illinois,Illinois
1-Apr-06,Grossinger Motors Arena,Bloomington,"8,000"
11-Jun-06,Toyota Park,Bridgeview,"28,010"
2-Mar-63,State Farm Center,Champaign,"17,200"
1950,Ravinia Pavilion,Highland Park,"3,400"
1926,Aragon Ballroom,Chicago,"4,500"
1960 / renovated 1971,Arie Crown Theater,Chicago,"4,249"
1889,Auditorium Theatre,Chicago,"3,877"
1921,Chicago Theatre,Chicago,"3,600"
4-Nov-29,Civic Opera House,Chicago,"3,563"
1996,House of Blues,Chicago,"1,300"
14-Oct-17,Wintrust Arena,Chicago,"10,387"
24-Jun-05,Huntington Bank Pavilion,Chicago,"30,000"
1912,Lincoln Hall,Chicago,507
1920s / Renovated 1977,Park West Theatre,Chicago,900
late 1917,Riviera Theatre,Chicago,"2,500"
1903,Schuba's,Chicago,150
9-Oct-24,Soldier Field,Chicago,"63,500"
1892,Thalia Hall,Chicago,500
31-May-82,Credit Union 1 Arena,Chicago,"10,000"
18-Aug-94,United Center,Chicago,"23,500"
1912,The Vic Theatre,Chicago,"1,400"
23-Apr-14,Wrigley Field,Chicago,"40,929"
28-May-93,TaxSlayer Center,Moline,"12,000 (Theater: 3,000–6,000)"
Feb-52,Peoria Civic Center,Peoria,"12,036"
11-May-80,Allstate Arena,Rosemont,"18,500"
1995,Rosemont Theatre,Rosemont,"4,400"
1990,Hollywood Casino Amphitheatre,Tinley Park,"28,000"
1927,Genesee Theatre,Waukegan,"2,427"
Indiana,Indiana,Indiana,Indiana
20-Oct-09,Ford Center,Evansville,"11,000"
28-Sep-52,Allen County War Memorial Coliseum,Fort Wayne,"11,000"
7-Mar-28,Hinkle Fieldhouse,Indianapolis,"9,100"
6-Nov-99,Bankers Life Fieldhouse,Indianapolis,"19,000"
Aug-39,Indiana Farmers Coliseum,Indianapolis,"6,800"
1909,Old National Centre,Indianapolis,"2,600 Egyptian Room: 1,800; Corinthian Hall: 600"
16-Aug-08,Lucas Oil Stadium,Indianapolis,"70,000"
1989,Ruoff Home Mortgage Music Center,Noblesville,"24,550 (outdoor amphitheatre)"
Iowa,Iowa,Iowa,Iowa
12-Jul-05,Wells Fargo Arena,Des Moines,"16,285 (center-stage: 16,980)"
began in 1854,Iowa State Fair,Des Moines,"10,605"
1923,Hoyt Sherman Place,Des Moines,"1,252"
3-Jan-83,Carver-Hawkeye Arena,Iowa City,"15,400"
20-Sep-65,Jack Trice Stadium,Ames,"61,500"
Kansas,Kansas,Kansas,Kansas
2011,United Wireless Arena,Dodge City,"5,500 max."
2-Jan-10,Intrust Bank Arena,Wichita,"15,000"
Mar-09,Hartman Arena,Wichita,"5,000 (standing: 6,500)"
1969,Cessna Stadium,Wichita,"31,500"
1983,Providence Medical Center Amphitheater,Bonner Springs,"18,000"
Kentucky,Kentucky,Kentucky,Kentucky
10-May-08,BB&T Arena,Highland Heights,"7,000–8,000"
28-Nov-76,Rupp Arena,Lexington,"5,000–24,500"
"July 19, 1887",Lexington Opera House,Lexington,"1,000"
1-Dec-50,Memorial Coliseum,Lexington,"10,000"
10-Oct-10,KFC Yum! Center,Louisville,"17,500"
1956,Freedom Hall,Louisville,"19,200"
1925,Brown Theatre,Louisville,"1,400"
1928,The Louisville Palace,Louisville,"2,700"
Oct-05,Eastern Kentucky Expo Center,Pikeville,"7,000"
Louisiana,Louisiana,Louisiana,Louisiana
14-Jan-77,Tipitina's,New Orleans,"1,000"
1950,Carver Theater,New Orleans,500
1906,Civic Theatre,New Orleans,"1,200"
1994,House of Blues,New Orleans,843
1988,The Howlin' Wolf,New Orleans,"1,200"
1947,Joy Theater,New Orleans,"1,250"
1983,Lakefront Arena,New Orleans,"8,981"
1973,Mahalia Jackson Theater of the Performing Arts,New Orleans,"2,100"
3-Aug-75,Mercedes-Benz Superdome,New Orleans,"73,250"
1918,Orpheum Theater,New Orleans,"1,500"
4-Feb-27,Saenger Theatre,New Orleans,"2,600"
29-Oct-99,Smoothie King Center,New Orleans,"17,812 (Theater: 7,499)"
1926,State Palace Theatre,New Orleans,"3,335"
1937,Tad Gormley Stadium,New Orleans,"26,500"
2019,The Fillmore New Orleans,New Orleans,"2,000"
1965,Rapides Parish Coliseum,Alexandria,"6,500"
1956,BREC Memorial Stadium,Baton Rouge,"21,500"
1975,F. G. Clark Center,Baton Rouge,"7,500"
1925,Greek Theatre,Baton Rouge,"3,500"
2012,LSU Tiger Band Hall,Baton Rouge,325
1972,Pete Maravich Assembly Center,Baton Rouge,"13,215"
1977,Raising Cane's River Center Arena,Baton Rouge,"8,900 (Concerts: 10,400)"
1977,River Center Theater for Performing Arts,Baton Rouge,"1,999"
25-Nov-24,Tiger Stadium (LSU),Baton Rouge,"102,321"
2-Nov-00,CenturyLink Center,Bossier City,"14,000"
2007,Fredrick C. Hobdy Assembly Center,Grambling,"7,500"
1982,University Center,Hammond,"7,500"
6-Jan-99,Houma Terrebonne Civic Center,Houma,"5,000"
1991,Pontchartrain Center,Kenner,"3,700"
10-Nov-85,Cajundome,Lafayette,"13,500"
1976,Burton Coliseum,Lake Charles,"8,500"
1972,Lake Charles Civic Center,Lake Charles,"Sudduth Coliseum: 7,450Rosa Hart Theatre: 1,960"
2015,Jefferson Performing Arts Center,Metairie,"1,500"
1997,Shrine on Airline,Metairie,"10,000"
1971,Fant–Ewing Coliseum,Monroe,"7,085"
1965,Monroe Civic Center,Monroe,"7,600"
1964,Prather Coliseum,Natchitoches,"3,900"
1982,Thomas Assembly Center,Ruston,"8,000"
1954,Hirsch Memorial Coliseum,Shreveport,"10,300"
1965,RiverView Theater,Shreveport,"1,725"
1929,Shreveport Municipal Memorial Auditorium,Shreveport,"3,200"
1970,Harang Jr. Municipal Auditorium,Thibodaux,"3,500"
1970,Stopher Gymnasium,Thibodaux,"3,800"
1999,Alario Center,Westwego,"2,400"
Maine,Maine,Maine,Maine
10-Sep-13,Cross Insurance Center,Bangor,"5,800–8,500"
28-Jul-10,Darling's Waterfront Pavilion,Bangor,"16,000"
8-Nov-29,State Theatre,Portland,"1,870"
3-Mar-77,Cross Insurance Arena,Portland,"9,500"
Maryland,Maryland,Maryland,Maryland
1981,MECU Pavilion,Baltimore,"4,400"
6-Sep-98,M&T Bank Stadium,Baltimore,"71,250"
23-Oct-62,Royal Farms Arena,Baltimore,"14,000"
15-Dec-04,Rams Head Live!,Baltimore,"1,500"
14-Sep-97,FedExField,Landover,"79,000"
19-Jun-13,SECU Arena,Towson,"5,200"
11-Oct-02,Xfinity Center,College Park,"17,955"
1967,Merriweather Post Pavilion,Columbia,"19,319"
Massachusetts,Massachusetts,Massachusetts,Massachusetts
30-Sep-95,TD Garden,Boston,"19,600"
20-Apr-12,Fenway Park,Boston,"37,949"
3-Jan-05,Agganis Arena,Boston,"7,200"
1852,Orpheum Theatre,Boston,"2,700"
1994,Rockland Trust Bank Pavilion,Boston,"5,200"
2009,House of Blues,Boston,"2,425"
1913,Wilbur Theatre,Boston,"1,200"
22-Sep-77,Paradise Rock Club,Boston,933
13-Jun-86,Xfinity Center,Mansfield,"19,900"
11-May-02,Gillette Stadium,Foxborough,"69,004"
27-Jan-98,Tsongas Center,Lowell,"7,800"
1922,Lowell Memorial Auditorium,Lowell,"2,800"
1948,Lynn Memorial City Hall and Auditorium,Lynn,"2,000"
2-Sep-82,DCU Center,Worcester,"14,800"
Michigan,Michigan,Michigan,Michigan
1980,Kellogg Arena,Battle Creek,"6,200–6,500"
1928,Royal Oak Music Theatre,Royal Oak,"1,700"
5-Sep-17,Little Caesars Arena,Detroit,"15,000–22,000"
24-Aug-02,Ford Field,Detroit,"62,755"
1928,Fox Theatre,Detroit,"5,174"
1907,Saint Andrew's Hall,Detroit,"1,000"
1925; renovated 2007,The Fillmore,Detroit,"2,888"
1926,Detroit Masonic Temple,Detroit,"4,650 (Masonic Theater)1,586 (Jack White Theater)"
25-Jun-72,DTE Energy Music Theatre,Clarkston,"15,274"
8-Oct-96,Van Andel Arena,Grand Rapids,"13,184"
2017,20 Monroe Live,Grand Rapids,"2,540"
1980,DeVos Performance Hall,Grand Rapids,"2,404"
1979,Holland Municipal Stadium,Holland,"5,322"
Minnesota,Minnesota,Minnesota,Minnesota
1988,Paisley Park,Chanhassen,"1,850"
2010,AMSOIL Arena,Duluth,"8,500"
1966,Duluth Entertainment Convention Center,Duluth,"Arena: 5,333Sypmhony Hall: 2,400"
1910,NorShor Theatre,Duluth,700
1995,Verizon Center,Mankato,"8,200"
2016,US Bank Stadium,Minneapolis,"66,665"
2009,TCF Bank Stadium,Minneapolis,"58,805"
2010,Target Field,Minneapolis,"39,022"
1990,Target Center,Minneapolis,"19,336"
1936,The Armory,Minneapolis,"8,400"
1929,Northrop Auditorium,Minneapolis,"2,700"
1921,Orpheum Theatre,Minneapolis,"2,579"
1921,State Theatre,Minneapolis,"2,181"
1970,First Avenue,Minneapolis,"1,550"
1916,Pantages Theatre,Minneapolis,"1,014"
2009,Bluestem Amphitheater,Moorhead,"3,000"
1984,Taylor Arena,Rochester,"7,200"
1939,Mayo Civic Auditorium,Rochester,"3,000"
2000,Xcel Energy Center,Saint Paul,"20,554"
1909,State Fair Grandstand,Saint Paul,"17,000"
2015,CHS Field,Saint Paul,"12,000"
1932,Roy Wilkins Auditorium,Saint Paul,"5,000"
1916,Palace Theatre,Saint Paul,"2,500"
1910,Fitzgerald Theater,Saint Paul,"1,058"
Mississippi,Mississippi,Mississippi,Mississippi
1977,Mississippi Coast Coliseum,Biloxi,"11,500–15,025"
2018,Brandon Amphitheater,Brandon,"8,300"
1962,Mississippi Coliseum,Jackson,"6,500–10,000"
1968,Thalia Mara Hall,Jackson,"2,040"
16-Sep-00,Landers Center,Southaven,"10,045"
Missouri,Missouri,Missouri,Missouri
7-Nov-09,Silverstein Eye Centers Arena,Independence,"7,000"
14-Jun-91,Hollywood Casino Amphitheatre,Maryland Heights,"20,000 (7,000 seated; 13,000 on the lawn)"
13-Nov-08,JQH Arena,Springfield,"11,000"
10-Oct-07,Sprint Center,Kansas City,"19,252"
1974,Hy-Vee Arena,Kansas City,"19,000"
6-Jan-28,Uptown Theater,Kansas City,"1,700"
27-Oct-27,Midland Theatre,Kansas City,"3,200"
25-Jun-51,Starlight Theatre,Kansas City,"7,958"
12-Aug-72,Arrowhead Stadium,Kansas City,"76,416"
8-Oct-94,Enterprise Center,St. Louis,"22,000"
1929,Fox Theatre,St. Louis,"4,503"
"October 19, 2000[23]",The Pageant,St. Louis,"1,000–2,300[23]"
10-Apr-08,Chaifetz Arena,St. Louis,"10,600"
12-Nov-95,The Dome at America's Center,St. Louis,"66,000"
"April 21, 1934(reopened in 2011)",Stifel Theatre,St. Louis,"3,100"
3-Oct-04,Busch Stadium,St. Louis,"52,000"
Jul-87,Show Me Center,Cape Girardeau,"7,373"
13-Oct-04,Mizzou Arena,Columbia,"15,061"
Nebraska,Nebraska,Nebraska,Nebraska
24-Sep-03,CHI Health Center,Omaha,"18,100 (center-stage: 18,980)"
23-Oct-15,Baxter Arena,Omaha,"7,898"
1927,Orpheum Theater,Omaha,"2,600"
1926,Sokol Auditorium,Omaha,"1,500"
16-Aug-13,Pinnacle Bank Arena,Lincoln,"14,620 (Theater: 10,900)"
20-Oct-23,Memorial Stadium,Lincoln,"87,000"
19-Oct-12,Ralston Arena,Ralston,"4,356[24]"
Nevada,Nevada,Nevada,Nevada
23-Oct-71,Sam Boyd Stadium,Whitney,"35,500–40,000"
18-Dec-93,MGM Grand Garden Arena,Las Vegas,"16,800"
Aug-20,Allegiant Stadium,Las Vegas,"60,000 (expandable to 72,000)"
1-Jul-76,Zappos Theater,Las Vegas,"7,000"
1995,The Joint,Las Vegas,"1,500–4,200"
1999,House of Blues,Las Vegas,"1,000–2,000 (350 seated, 650 standing)"
25-Mar-03,The Colosseum at Caesars Palace,Las Vegas,"4,298"
15-Nov-01,Pearl Concert Theater,Las Vegas,"1,000–2,500"
26-Dec-46,Flamingo Showroom,Las Vegas,700–750
28-Dec-96,Orleans Showroom,Las Vegas,850
2-Feb-02,Orleans Arena,Las Vegas,"8,921"
16-Dec-83,Thomas & Mack Center,Las Vegas,"19,000"
3-May-99,The Venetian Theatre,Las Vegas,"1,810"
2-Mar-99,Mandalay Bay Events Center,Las Vegas,"12,000"
16-Apr-16,T-Mobile Arena,Las Vegas,"12–19,600"
Jan-05,Reno Events Center,Reno,"7,400"
4-Nov-83,Lawlor Events Center,Reno,"11,536"
1-Oct-66,Mackay Stadium,Reno,"26,000"
1944,Lake Tahoe Outdoor Arena,Stateline,"9,300"
New Hampshire,New Hampshire,New Hampshire,New Hampshire
1996,Bank of New Hampshire Pavilion,Gilford,"8,300"
"July 4, 1899",Hampton Beach Casino Ballroom,Hampton,"2,200 (GA) 1,800 (Seated)"
15-Nov-01,SNHU Arena,Manchester,"10,050"
1914,Palace Theatre,Manchester,880
New Jersey,New Jersey,New Jersey,New Jersey
1916,Paramount Theatre,Asbury Park,1600
1993,The Saint,Asbury Park,175
1974,The Stone Pony,Asbury Park,500
1929,Boardwalk Hall,Atlantic City,"14,770"
2-Jul-03,Borgata Event Center,Atlantic City,"2,400 (Main Hall)1,000 (The Music Box)"
7-Jun-99,TD Bank Ballpark,Bridgewater,"6,100"
Jun-95,BB&T Pavilion,Camden,"25,000 (indoor: 7,000)"
10-Apr-10,MetLife Stadium,East Rutherford,"82,680"
1981,Meadowlands Arena,East Rutherford,"20,000"
12-Jun-68,PNC Bank Arts Center,Holmdel,"17,500 (indoor 7,000)"
25-Oct-07,Prudential Center,Newark,"19,500"
"November 11, 1926;",Count Basie Theatre,Red Bank,"1,568"
7-Dec-03,Starland Ballroom,Sayreville,"2,500"
New Mexico,New Mexico,New Mexico,New Mexico
1975,Popejoy Hall,Albuquerque,"1,985"
Unknown,Kiva Auditorium,Albuquerque,"2,300"
1957,Tingley Coliseum,Albuquerque,"11,571"
Feb-00,Isleta Amphitheater,Albuquerque,"15,000"
1-Dec-66,The Pit,Albuquerque,"15,411"
30-Nov-68,Pan American Center,Las Cruces,"12,482"
New York,New York,New York,New York
11-Feb-72,"NYCB Live, home of the Nassau Veterans Memorial Coliseum",Uniondale,"14,500"
9-Jul-66,Saratoga Performing Arts Center,Saratoga Springs,"5,103 seats, 20,000 on lawn."
20-Sep-79,Herb Brooks Arena,Lake Placid,"7,700"
1952,Northwell Health at Jones Beach Theater,Wantagh,"15,000"
Sep-11,The Paramount[citation needed],Huntington,"1,753"
21-Sep-12,Barclays Center,Brooklyn,"19,000"
25-Jun-16,Ford Amphitheater at Coney Island,Brooklyn,"5,000"
11-Feb-68,Madison Square Garden,New York City,"20,000"
1886,Webster Hall,New York City,"300–1,500"
"May 5, 1891",Carnegie Hall,New York City,"2,804"
1906,Hammerstein Ballroom,New York City,"3,500"
14-Feb-68,Hulu Theater,New York City,"2,000–5,600"
2013,Forest Hills Stadium,New York City,"14,000"
2009,Citi Field,New York City,"47,255"
2007,Irving Plaza,New York City,"1,025"
1937,Gramercy Theatre,New York City,499
24-Dec-29,Beacon Theatre,New York City,"2,829"
27-Dec-32,Radio City Music Hall,New York City,"6,015"
19-Sep-05,PlayStation Theater,New York City,"2,100"
2003,Terminal 5,New York City,"3,000"
2-Apr-09,Yankee Stadium,Bronx,"54,242"
17-Aug-73,New Era Field,Orchard Park,"71,608"
Oct-31,Palace Theatre,Albany,"2,844"
30-Jan-90,Times Union Center,Albany,"15,357 (Theater: 6,000)"
20-Sep-80,Carrier Dome,Syracuse,"56,250"
21-Sep-96,KeyBank Center,Buffalo,"18,500"
18-Oct-55,Blue Cross Arena,Rochester,"14,000"
May-81,Darien Lake Performing Arts Center,Darien,"21,600"
2005,Center for the Arts,Homer,450
North Carolina,North Carolina,North Carolina,North Carolina
1974,U.S. Cellular Coliseum,Asheville,"7,200"
2002,The Orange Peel,Asheville,"1,050"
6-Sep-00,Holmes Center,Boone,"8,325"
